vehicle_edge,vehicle_longitude,vehicle_latitude,count
39832525#0,7.579797,45.052389,593
450274964,7.58793,45.083053,592
450274964,7.58797,45.083865,592
450274964,7.587849,45.081429,592
450274964,7.587889,45.082241,592
594646043#1,7.617824,44.984291,584
594646043#1,7.614075,44.980835,584
594646043#1,7.614825,44.981526,584
594646043#1,7.617074,44.9836,584
594646043#1,7.616324,44.982909,584
594646043#1,7.618574,44.984982,584
594646043#1,7.615574,44.982217,584
22922411,7.700967,44.975662,582
22922411,7.699337,44.972053,582
22922411,7.700034,44.972688,582
22922411,7.698455,44.971553,582
22922411,7.700712,44.973336,582
22922411,7.701158,44.974069,582
22922411,7.701147,44.974866,582
-134543552#3,7.704817,44.990482,575
-134543552#3,7.705198,44.991372,575
-81833989,7.577234,45.0779,557
-81833989,7.579315,45.077242,557
-81833989,7.575716,45.079096,557
-81833989,7.57827,45.077565,557
-81833989,7.576441,45.078472,557
-23721624#1,7.597406,45.109809,555
-23721624#1,7.596531,45.109367,555
-23721624#1,7.598301,45.110231,555
-23721624#1,7.599198,45.110651,555
79941699,7.572691,45.072658,546
79941699,7.571781,45.072618,546
39260442,7.586732,45.032589,537
39260442,7.585683,45.032981,537
79941718#1,7.559846,45.072112,535
79941718#1,7.560747,45.07215,535
536720409#2,7.615936,44.982302,535
536720409#2,7.618042,44.984239,535
536720409#2,7.61734,44.983594,535
536720409#2,7.616638,44.982948,535
536720409#2,7.615234,44.981656,535
30250811#2,7.671479,44.979587,531
15215737#3,7.699993,44.979714,524
-49791135#2,7.725884,44.968367,524
-49791135#2,7.725916,44.969234,524
15215737#3,7.699731,44.980684,524
15215737#3,7.700251,44.978743,524
15215737#3,7.700508,44.977773,524
-255961293#0,7.591584,45.112988,521
-255961293#0,7.592444,45.111188,521
-255961293#0,7.593144,45.110379,521
-255961293#0,7.591986,45.112081,521
67239390#2,7.773289,45.140905,521
314832639#3,7.741328,45.13817,515
314832639#3,7.743413,45.139215,515
314832639#3,7.744461,45.139732,515
314832639#3,7.74237,45.138692,515
314832639#3,7.739244,45.137122,515
314832639#3,7.740285,45.137647,515
124745941,7.561598,45.056324,512
124745941,7.563664,45.055424,512
124745941,7.562631,45.055874,512
452950770#1,7.710903,44.969825,510
452950770#1,7.709789,44.969989,510
452950770#1,7.715356,44.969164,510
452950770#1,7.717581,44.968829,510
452950770#1,7.719806,44.968495,510
452950770#1,7.716469,44.968997,510
452950770#1,7.71313,44.969498,510
452950770#1,7.712017,44.969661,510
452950770#1,7.708676,44.970153,510
452950770#1,7.718694,44.968662,510
452950770#1,7.714243,44.969331,510
424270452,7.582266,45.07307,508
-39604703#0,7.613891,44.978423,507
-39604703#0,7.615252,44.975972,507
-39604703#0,7.6148,44.97679,507
-39604703#0,7.614346,44.977606,507
-39604703#0,7.615699,44.975154,507
37983094,7.690664,44.970668,505
37983094,7.695827,44.97117,505
37983094,7.693247,44.970912,505
37983094,7.694537,44.971042,505
37983094,7.691957,44.970781,505
168200794,7.574803,45.052711,497
168200794,7.57699,45.052631,497
168200794,7.575897,45.052672,497
83524143#0,7.602654,44.995558,496
536720410,7.621735,44.987612,496
536720410,7.620063,44.986095,496
83524143#0,7.600183,44.995767,496
536720410,7.620899,44.986853,496
83524143#0,7.598945,44.995898,496
83524143#0,7.60142,44.995636,496
37975284,7.562495,45.055806,494
37975284,7.56149,45.056246,494
45061254,7.737623,45.146902,494
45061254,7.73613,45.14597,494
45061254,7.736767,45.146687,494
37975284,7.560472,45.056669,494
-37981515,7.62729,44.992688,493
-37981515,7.625998,44.991519,493
-37981515,7.626644,44.992104,493
79941734#5,7.564501,45.072309,487
79941734#5,7.565497,45.072352,487
213893799#1,7.583351,45.075683,477
213893799#1,7.584432,45.075207,477
213893799#1,7.582266,45.076154,477
76079492#0,7.570218,45.00727,475
76079492#0,7.569117,45.006837,475
79941734#1,7.569945,45.072539,475
76079492#0,7.57242,45.008134,475
76079492#0,7.573521,45.008566,475
76079492#0,7.571319,45.007702,475
76079492#0,7.574622,45.008998,475
43273611#4,7.627372,44.994022,473
43273611#4,7.628779,44.9927,473
43273611#4,7.628044,44.993344,473
43273611#4,7.629545,44.992074,473
