vehicle_edge,vehicle_longitude,vehicle_latitude,count
23154530,7.703574,44.968523,408
23154530,7.705659,44.970199,408
23154530,7.703715,44.967023,408
23154530,7.703562,44.967773,408
23154530,7.704112,44.969164,408
23154530,7.706695,44.970322,408
30251045,7.679222,44.989912,400
30251045,7.676213,44.99104,400
30251045,7.67526,44.991479,400
30251045,7.673337,44.992333,400
30251045,7.677174,44.990611,400
30251045,7.674308,44.991918,400
30251045,7.678197,44.990261,400
15215737#1,7.698502,44.985279,397
15215737#1,7.694508,44.989355,397
15215737#1,7.698787,44.984462,397
15215737#1,7.692491,44.990242,397
15215737#1,7.696977,44.987553,397
15215737#1,7.69759,44.986832,397
15215737#1,7.699005,44.983634,397
15215737#1,7.696241,44.988212,397
15215737#1,7.693527,44.98983,397
15215737#1,7.695419,44.988818,397
15215737#1,7.69809,44.986068,397
39604703#0,7.613323,44.979208,396
39604703#0,7.614687,44.976758,396
39604703#0,7.614232,44.977575,396
39604703#0,7.613778,44.978392,396
39604703#0,7.615138,44.975941,396
-472045807,7.737313,45.147834,393
83599780#0,7.602262,45.121221,392
83599780#0,7.601081,45.121579,392
83599780#0,7.595172,45.123358,392
83599780#0,7.605786,45.120124,392
83599780#0,7.597539,45.122652,392
83599780#0,7.599902,45.121939,392
83599780#0,7.604625,45.120509,392
83599780#0,7.603443,45.120865,392
83599780#0,7.596356,45.123005,392
83599780#0,7.598722,45.122298,392
79941693#1,7.551983,45.07178,391
37928262,7.555015,44.984729,389
37928262,7.554403,44.983976,389
37928262,7.553284,44.982426,389
37928262,7.552675,44.981671,389
37928262,7.553843,44.983201,389
30250830#0,7.675033,44.975746,386
30250830#0,7.675917,44.975284,386
30250830#0,7.6741,44.976189,386
37992645,7.702731,44.988592,384
27513654#1,7.597595,45.106033,379
27513654#1,7.596881,45.106783,379
27513654#1,7.596143,45.107525,379
30250829#1,7.676894,44.974766,378
78667604#2,7.52649,44.974853,376
78667604#2,7.525259,44.974717,376
78667604#2,7.531412,44.9754,376
78667604#2,7.528951,44.975126,376
78667604#2,7.535104,44.975806,376
78667604#2,7.542488,44.976614,376
78667604#2,7.536336,44.975936,376
78667604#2,7.543703,44.976805,376
78667604#2,7.5388,44.976194,376
78667604#2,7.532642,44.975537,376
78667604#2,7.541264,44.976452,376
78667604#2,7.537568,44.976065,376
78667604#2,7.530181,44.975262,376
78667604#2,7.533873,44.975672,376
78667604#2,7.52772,44.974989,376
78667604#2,7.540032,44.976323,376
25724099,7.54272,45.062639,374
25724099,7.540682,45.063048,374
25724099,7.541722,45.062887,374
-452064926#1,7.678972,44.974057,371
-452064926#1,7.679969,44.974252,371
168200794,7.575897,45.052672,369
168200794,7.57699,45.052631,369
515166948#1,7.593961,45.102954,366
515166948#1,7.591833,45.102352,366
515166948#1,7.592898,45.102652,366
515166948#1,7.595025,45.103257,366
49205947#0,7.55691,45.10427,366
49205947#0,7.558006,45.104932,366
38233213,7.546759,45.071631,362
15215737#2,7.699333,44.982156,359
15215737#2,7.699532,44.98142,359
135653247,7.670801,44.984004,358
135653247,7.67066,44.982168,358
135653247,7.670594,44.981249,358
135653247,7.67073,44.983086,358
210665547,7.734562,45.145609,356
23721624#1,7.596555,45.109343,356
23721624#1,7.597429,45.109786,356
23721624#1,7.595681,45.1089,356
23721624#1,7.598324,45.110207,356
255961293#0,7.59195,45.112066,354
255961293#0,7.591547,45.112975,354
255961293#0,7.590742,45.114794,354
255961293#0,7.59241,45.111172,354
255961293#0,7.591145,45.113884,354
255961293#0,7.590352,45.115706,354
80142954#11,7.548579,45.07147,351
39832525#2,7.588803,45.05204,350
39832525#2,7.592238,45.051906,350
39832525#2,7.587658,45.052085,350
39832525#2,7.589948,45.051996,350
39832525#2,7.586513,45.052129,350
39832525#2,7.593383,45.051862,350
39832525#2,7.591093,45.051951,350
-45847601,7.738662,45.146665,347
37928253#1,7.540283,44.976504,346
37928253#1,7.532096,44.975612,346
37928253#1,7.537941,44.976264,346
37928253#1,7.528588,44.975226,346
37928253#1,7.527418,44.975102,346
37928253#1,7.542618,44.976778,346
37928253#1,7.530928,44.975479,346
37928253#1,7.536769,44.976145,346
37928253#1,7.5449,44.977214,346
37928253#1,7.529759,44.97535,346
37928253#1,7.526248,44.974977,346
37928253#1,7.539112,44.976384,346
37928253#1,7.541453,44.976629,346
37928253#1,7.535598,44.976025,346
37928253#1,7.53443,44.975889,346
37928253#1,7.533264,44.975748,346
