vehicle_edge,vehicle_longitude,vehicle_latitude,count
314832638#2,7.801781,45.168173,1123
314832638#2,7.770081,45.152395,1123
314832638#2,7.772125,45.153413,1123
314832638#2,7.778237,45.156489,1123
314832638#2,7.774163,45.154438,1123
314832638#2,7.775181,45.154951,1123
314832638#2,7.785382,45.160066,1123
314832638#2,7.780275,45.157515,1123
314832638#2,7.782313,45.158541,1123
314832638#2,7.783332,45.159053,1123
314832638#2,7.792559,45.16361,1123
314832638#2,7.798712,45.166647,1123
314832638#2,7.779256,45.157002,1123
314832638#2,7.791534,45.163103,1123
314832638#2,7.784357,45.159559,1123
163689312#1,7.576703,45.098377,1112
163689312#1,7.575886,45.098058,1112
81833989,7.580377,45.076946,1099
81833989,7.579334,45.077267,1099
81833989,7.575745,45.079116,1099
81833989,7.578292,45.077589,1099
81833989,7.577258,45.077923,1099
81833989,7.576468,45.078494,1099
27998539,7.556576,45.083554,1087
27998539,7.55558,45.08294,1087
594646040#0,7.623293,44.989313,1073
594646040#0,7.621753,44.987883,1073
594646040#0,7.625737,44.991374,1073
594646040#0,7.624859,44.990728,1073
594646040#0,7.622523,44.988598,1073
594646040#0,7.624062,44.990028,1073
515166946,7.582305,45.099959,1042
515166946,7.581292,45.099684,1042
37975347#0,7.550765,45.060946,1011
37975347#0,7.554825,45.059168,1011
37975347#0,7.555837,45.058721,1011
37975347#0,7.552794,45.060055,1011
37975347#0,7.551779,45.0605,1011
37975347#0,7.556847,45.058272,1011
37975347#0,7.553809,45.059612,1011
130009195#0,7.578723,45.05258,1002
130009195#0,7.582411,45.052437,1002
130009195#0,7.584869,45.052342,1002
130009195#0,7.581181,45.052485,1002
130009195#0,7.586098,45.052294,1002
130009195#0,7.58364,45.052389,1002
130009195#0,7.579952,45.052532,1002
124745797#0,7.751144,45.048615,991
124745797#0,7.749242,45.050651,991
124745797#0,7.752327,45.048874,991
124745797#0,7.750779,45.049484,991
124745797#0,7.748154,45.051105,991
124745797#0,7.749986,45.050028,991
111760278#0,7.579389,45.07295,926
